company,domain,bucket,campaign,priority,wave,had_email_before,had_phone_before,enriched,has_mobile,source,status
West Side Electric Service,westsideelectricservice.com,Commercial & industrial contracting,Commercial & Industrial Contractors,ben-B,BEN,yes,,yes,,inven+grata,title_filter_miss: 1 contacts (named target Jerry Bone/Owner)
"Detroit Power Systems, LLC",detroitpowersystems.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,,,inven,no coverage
MTM Electrical Corp.,mtmelectric.com,T4,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,,inven,owner found but no verified emails and no phones
Mardant Electrical Construction Company Inc.,mardantelectrical.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
"Phase 2 Electric, INC.",phase2electric.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,,,inven,"title_filter_miss: 3 contacts, none matched owner titles"
"Prenergy Services, LLC",prenergy.com,T4,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,"WARNING Venezuela-based contacts, likely wrong company match; no verified emails"
William H. Clinger Corporation,clingerelectric.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 3 contacts, none matched owner titles"
48 Electric LLC,48electric.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
AM Electric Inc,amelectricinc.com,T4,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
Advance Electrical Corporation,advance-electrical.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
"All Star I & E, Inc.",allstarie.com,T4,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
Area Wide Electric,areawideelectric.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 1 contacts, none matched owner titles"
Current Electrical Construction Company,current-electrical.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
Electric Supply Co.,electricsupplyfsd.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 6 contacts, none matched owner titles"
Fagan Electrical Services,faganelectricalservice.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no coverage
Frankart Electric,frankartelectric.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
Freeland Electric,freelandelectricllc.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
"Laird Electrical Contracting, LLC",lairdelectrical.net,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"owner found, office line only, no verified emails"
"Multi Electrical Services, Inc.",multielectrical.com,T4,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
"Premier Power Professionals, Inc.",premierpowerpro.com,T4,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 2 contacts, none matched owner titles"
"RSC Electrical, Inc.",rscelectrical.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
Stark Electric INC,starkelectric.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 1 contacts, none matched owner titles"
Strickland Electric Inc.,stricklandelectric-ok.com,T4,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 2 contacts, none matched owner titles"
"Taft Electric, Inc",tei-nm.com,T4,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 5 contacts, none matched owner titles"
Chatham Electric Service LLC,chatham-electric.com,S9,EV Charging,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 1 contacts, none matched owner titles"
North Star Power Inc.,northstarpowerinc.com,T2,Electrical Apparatus Servicing,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,non-owner office manager returned
A1 Lightning,a1lightning.com,S10,Lightning Protection,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no coverage
Baca Lightning Protection,bacalightningprotection.com,S10,Lightning Protection,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 1 contacts, none matched owner titles"
Hart & Associates Inc.,hart-assoc.com,S10,Lightning Protection,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no coverage
OHIO STATE LIGHTNING PROTECTION,ohiostatelightning.com,S10,Lightning Protection,campaign-Nurture,CAMPAIGN,,,,,inven,no coverage
Pettlon Lightning Protection,krispettlonlightningprotection.com,S10,Lightning Protection,campaign-Nurture,CAMPAIGN,,,,,inven,no coverage
South Carolina Lighting Protection,sclightning.com,S10,Lightning Protection,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no coverage
Teates Lightning,teateslightning.com,S10,Lightning Protection,campaign-Nurture,CAMPAIGN,,,,,inven,no coverage
"Triangle Lightning Protection, INC.",tlpfl.com,S10,Lightning Protection,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no coverage
Western Reserve Lightning Rod Company,westernreservelightningrod.com,S10,Lightning Protection,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 3 contacts, none matched owner titles"
Mission Critical Electric,missioncriticalelectric.com,T6,Mission critical power,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
EACH Engineering,eachengineering.com,T6,Mission critical power,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 4 contacts, none matched owner titles"
"Leppert-Nutmeg, Inc.",leppert-nutmeg.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 4 contacts, none matched owner titles"
"Servo Motors and Drives, Inc",servomd.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,yes,inven+grata,"owner found, no verified emails"
"Alexandria Armature Works, INC.",aawva.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 2 contacts, none matched owner titles"
Complete Electric Service,completeelectricsrvc.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,,,inven,no coverage
Delaware Electric,delawarelectricmotor.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no coverage
Dumbaugh Electric,demotors.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no coverage
E-Mechanical,e-mllc.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no coverage
E-Z Electric Motor Service Company Corporation,ezelectricmotor.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,,,inven,"title_filter_miss: 1 contacts, none matched owner titles"
Hamilton Electric Company,hamiltonelec.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 1 contacts, none matched owner titles"
Lenz Electric Motor Repair,lenzelectricmotor.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no coverage
Mid Kansas Winding,midkansaswinding.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 2 contacts, none matched owner titles"
"Valley Armature & Electric, INC.",valleyarmature.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,,,inven,no coverage
Warden Electric Co,wardenelectric.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 1 contacts, none matched owner titles"
"GST Power Service Group, Inc.",gstpowerservice.com,T1,Testing & Commissioning,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,non-owner business manager returned
Liberty Power Service INC,libertypowerservice.com,T1,Testing & Commissioning,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 1 contacts, none matched owner titles"
Power Generation & Distribution Services,pgdservices.com,T1,Testing & Commissioning,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"WARNING India-based contact, likely wrong company match"
Precision Testing Group,precisiontestinggroup.com,T1,Testing & Commissioning,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 1 contacts, none matched owner titles"
Scott Testing Inc,scotttesting.com,T1,Testing & Commissioning,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 2 contacts, none matched owner titles"
Capitol Area Testing Inc.,capitolareatesting.com,T1,Testing & Commissioning,campaign-Nurture,CAMPAIGN,,,yes,yes,inven+grata,no verified emails
Global Diversified Voltage,gdvoltage.net,T1,Testing & Commissioning,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"president found, no phones"
Syncore Group,syncore-group.com,T1,Testing & Commissioning,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
Volttek USA,volttekusa.com,T1,Testing & Commissioning,campaign-Nurture,CAMPAIGN,,,,,inven,no coverage
Central Mass Signal,centralmasssignal.com,S8,Traffic Signals & Lighting,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no coverage
Construction Management & Maintenance,cmmsystemsar.com,S8,Traffic Signals & Lighting,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no coverage
Independence Traffic Services,independencetrafficservices.com,S8,Traffic Signals & Lighting,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no coverage
Loop Electric,loopelectric.com,S8,Traffic Signals & Lighting,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 1 contacts, none matched owner titles"
Southwest Signal Service,southwestsignal.com,S8,Traffic Signals & Lighting,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 1 contacts, none matched owner titles"
TC Electric,tcelectric.us,S8,Traffic Signals & Lighting,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no coverage
Grattan Line Construction Co,grattanline.com,T3,Utility Line & Substation,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,ok
Grind-Well LLC,grind-well.com,T3,Utility Line & Substation,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"no verified emails, no phones"
McNabb Enterprises Powerline Construction LLC,mcnabbpowerline.com,T3,Utility Line & Substation,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
P&G Power Co.,pgpower.net,T3,Utility Line & Substation,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
"Proline Power, LLC.",prolinepwr.com,T3,Utility Line & Substation,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
Thermavue Solutions,thermavuesolutions.com,T3,Utility Line & Substation,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 3 contacts, none matched owner titles"
Agostino Utilities LLC,agostinoutilities.com,T3,Utility Line & Substation,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
D & T Power,dandtpower.com,T3,Utility Line & Substation,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
Delta Line Construction Co,deltaline.org,T3,Utility Line & Substation,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 1 contacts, none matched owner titles"
EHV Construction LLC,ehvconstruction.com,T3,Utility Line & Substation,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"non-owner foreman, no verified data"
Electra Lines,electralines.com,T3,Utility Line & Substation,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
Elmo Carter Construction CO INC,elmocarterconstruction.com,T3,Utility Line & Substation,campaign-Nurture,CAMPAIGN,,,,,inven,no coverage
"Fuimus Companies, LLC",fuimuscompanies.com,T3,Utility Line & Substation,campaign-Nurture,CAMPAIGN,,,yes,,inven,non-owner construction manager
H. Richardson & Sons,hrsutilities.com,T3,Utility Line & Substation,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no coverage
Integral Power Atlantic,ipatlantic.com,T3,Utility Line & Substation,campaign-Nurture,CAMPAIGN,,,yes,,inven,non-owner contacts only
Interconnect Utility Services,rpinterconnect.com,T3,Utility Line & Substation,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no coverage
Pole Line Contractors,polelinecontractorsinc.com,T3,Utility Line & Substation,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 3 contacts, none matched owner titles"
Power Engineering Group Inc,pegfl.com,T3,Utility Line & Substation,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"non-owner VP ops, office line only"
"Scott Pole Line, LLC",scottpoleline.com,T3,Utility Line & Substation,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"owner-equivalent found, office line only"
Stateline USA,statelineusa.com,T3,Utility Line & Substation,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"non-owner foreman, no verified data"
Sterling Utilities,sterlingutilities.com,T3,Utility Line & Substation,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 1 contacts, none matched owner titles"
T.B Power Creation,tbpowercreation.com,T3,Utility Line & Substation,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 2 contacts, none matched owner titles"
Tapline Utility Services LLC.,taplineutilityservices.com,T3,Utility Line & Substation,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 1 contacts, none matched owner titles"
A & F Electric Construction Inc,afelectric.net,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no coverage
AWJ Electric,awjelectric.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 1 contacts, none matched owner titles"
Aarow Electrical Solutions,aarowelectricalsolutions.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven,ok
All Phase Electrical Service,allphasela.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Box Systems Electrical,boxsystemselectrical.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 3 contacts, none matched owner titles"
Carroll Electric,carroll-electric.net,T5,Commercial & Industrial Ctrs,campaign-P3,CAMPAIGN,,,yes,,inven+grata,no coverage
Cascade Electrical Contracting Corp,cascadeelectrical.net,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no coverage
"Delco Electric, Inc.",delcoelectric.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 1 contacts, none matched owner titles"
Durkin Electric Co Inc,durkinelectric.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven+grata,ok
Greers Electric,greerselectric.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no coverage
ICS Electrical Services,icselectricalservices.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 2 contacts, none matched owner titles"
"Javelin Electric, Inc.",javelinelectricinc.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 1 contacts, none matched owner titles"
Jim Luca Electric,lucaelectric.com,T4,Commercial & Industrial Ctrs,campaign-P3,CAMPAIGN,,,yes,yes,inven,non-owner VP engineering
K2 Electric Incorporated,k2-electric.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no coverage
Lake Electric Company,lakeelectric.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Laketown Electric Corporation,laketownelectric.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Lyden Electric,lydenelectric.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Mammoth Electric,mammothelectric.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Manada Electric,manadaelectric.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Merit Electric Company,meritelectriccompany.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 9 contacts, none matched owner titles"
Northstar Electrical Services,northstarelectrical.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
OKC Electrical Contractor,okcelectric.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 4 contacts, none matched owner titles"
Pagoda Electrical Inc,pagoda-electrical.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 8 contacts, none matched owner titles"
Positive Power LLC.,positivepwr.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 1 contacts, none matched owner titles"
"Primary Systems, Inc.",pri-sys.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Skyline Electrical Contracting,skylineelectrical.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 2 contacts, none matched owner titles"
"Southern Electrical Contractors, Inc",southern-ind.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Sunstate Energy LLC,sunstateenergy.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Traud Electric,traud-electric.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 4 contacts, none matched owner titles"
"A J Goulder Electric, Inc.",ajgoulderelectric.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven,"non-owner estimator, office line only"
"ABEC Electric Company, LLC",abecelectric.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
ACME Electric Company,acmeelectriccompany.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 5 contacts, none matched owner titles"
"ALL PRO Electrical Technology, Inc.",allproelectrical.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 8 contacts, none matched owner titles"
"Acorn Electrical Specialists, INC.",acornelectrical.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 14 contacts, none matched owner titles"
All Tech Electric,alltechllc.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Allied Control Services,alliedcontrol.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
"American Electrical Contractors, INC",aecinc.us,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no coverage
Austgen Electric,austgen.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 7 contacts, none matched owner titles"
B & E Electric INC.,beelectricinc.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
B & H Electric INC.,bandhelectric.com,T5,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven,"non-owner contractor, office line only"
"B.L. Smith Electric, Inc.",blsmithelectric.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Bayou Electric,bayouelectrical.net,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 4 contacts, none matched owner titles"
Big Bear Electric Inc,bigbearelectric.biz,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 8 contacts, none matched owner titles"
"CSE Services, L.L.C.",cse-ne.com,T4,Commercial & Industrial Ctrs,campaign-P3,CAMPAIGN,,,yes,yes,inven,ok
Cates Control Systems,cates.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Challenge Electric,challengeelectricltd.com,T4,Commercial & Industrial Ctrs,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
